Opening port
Debug on
Port open
Compiled: Apr  2 2015, 13:03:29,
#,Parameter,value,comment
#,sampRate,250,Samples per second desired
#,sampFreq,250,Samples per second used
#,sampIntUSec,4000,Sample interval in microseconds
#,MinCumCuts,6,Minimum number of cumulative cuts per snippet for displacement
#,M,2
#,N,8

Not logging to SD card
Logging to serial
$,Sample,I,Q,IsCut,CurrCuts,RunCuts,Disp,Conf
$,679,12,13,0,0,-3,,
$,680,13,11,0,0,-3,,
$,681,13,13,0,0,-3,,
$,682,12,16,0,0,-3,,
$,683,13,13,0,0,-3,,
$,684,13,9,0,0,-3,,
$,685,13,12,0,0,-3,,
$,686,13,17,0,0,-3,,
$,687,13,13,0,0,-3,,
$,688,13,9,0,0,-3,,
$,689,12,13,0,0,-3,,
$,690,12,17,0,0,-3,,
$,691,13,13,0,0,-3,,
$,692,12,9,0,0,-3,,
$,693,12,13,0,0,-3,,
$,694,12,17,0,0,-3,,
$,695,14,13,0,0,-3,,
$,696,13,9,0,0,-3,,
$,697,12,13,0,0,-3,,
$,698,13,17,0,0,-3,,
$,699,15,13,0,0,-3,,
$,700,13,9,0,0,-3,,
$,701,11,13,0,0,-3,,
$,702,13,15,0,0,-3,,
$,703,15,12,0,0,-3,,
$,704,13,12,0,0,-3,,
$,705,10,13,0,0,-3,,
$,706,12,14,0,0,-3,,
$,707,16,13,0,0,-3,,
$,708,13,13,0,0,-3,,
$,709,9,13,0,0,-3,,
$,710,12,13,0,0,-3,,
$,711,16,13,0,0,-3,,
$,712,12,14,0,0,-3,,
$,713,9,13,0,0,-3,,
$,714,12,13,0,0,-3,,
$,715,16,13,0,0,-3,,
$,716,12,14,0,0,-3,,
$,717,8,13,0,0,-3,,
$,718,12,12,0,0,-3,,
$,719,17,13,0,0,-3,,
$,720,12,14,0,0,-3,,
$,721,8,13,0,0,-3,,
$,722,12,11,0,0,-3,,
$,723,17,12,0,0,-3,,
$,724,12,14,0,0,-3,,
$,725,9,12,0,0,-3,,
$,726,13,11,0,0,-3,,
$,727,15,12,0,0,-3,,
$,728,12,15,0,0,-3,,
$,729,11,13,0,0,-3,,
$,730,13,10,0,0,-3,,
$,731,13,12,0,0,-3,,
$,732,12,16,0,0,-3,,
$,733,13,13,0,0,-3,,
$,734,13,10,0,0,-3,,
$,735,13,13,0,0,-3,,
$,736,13,18,1,1,-2,,
$,737,13,14,-1,0,-3,,
$,738,13,10,0,0,-3,,
$,739,12,14,0,0,-3,,
$,740,12,18,1,1,-2,,
$,741,14,14,-1,0,-3,,
$,742,13,9,0,0,-3,,
$,743,13,13,0,0,-3,,
$,744,13,18,1,1,-2,,
$,745,14,13,-1,0,-3,,
$,746,13,8,0,0,-3,,
$,747,12,13,0,0,-3,,
$,748,13,18,1,1,-2,,
$,749,15,13,-1,0,-3,,
$,750,13,10,0,0,-3,,
$,751,11,14,0,0,-3,,
