Time[s], Channel 0,Interval,Over Limit
51.0804,1,99.665,
51.080435,0,,
51.180085,1,99.685,
51.18012,0,,
51.279745,1,99.66,
51.27978,0,,
51.37942,1,99.675,
51.379455,0,,
51.479085,1,99.665,
51.479125,0,,
51.57876,1,99.675,
51.578795,0,,
51.67842,1,99.66,
51.678455,0,,
51.778105,1,99.685,
51.77814,0,,
51.87778,1,99.675,
51.877815,0,,
51.977465,1,99.685,
51.9775,0,,
52.077125,1,99.66,
52.077165,0,,
52.176815,1,99.69,
52.17685,0,,
52.27649,1,99.675,
52.276525,0,,
52.37616,1,99.67,
52.376195,0,,
52.475815,1,99.655,
52.47585,0,,
52.575465,1,99.65,
52.5755,0,,
52.67512,1,99.655,
52.67516,0,,
52.774795,1,99.675,
52.774835,0,,
52.874475,1,99.68,
52.87451,0,,
52.97414,1,99.665,
52.974175,0,,
53.073815,1,99.675,
53.07385,0,,
53.173475,1,99.66,
53.17351,0,,
53.273145,1,99.67,
53.273185,0,,
53.372815,1,99.67,
53.37285,0,,
53.47248,1,99.665,
53.47252,0,,
53.57214,1,99.66,
53.57218,0,,
53.67182,1,99.68,
53.671855,0,,
53.77149,1,99.67,
53.771525,0,,
53.87118,1,99.69,
53.871215,0,,
53.97084,1,99.66,
53.970875,0,,
54.070525,1,99.685,
54.070565,0,,
54.1702,1,99.675,
54.17024,0,,
54.269875,1,99.675,
54.26991,0,,
54.369535,1,99.66,
54.369575,0,,
54.469195,1,99.66,
54.46923,0,,
54.56886,1,99.665,
54.568895,0,,
54.668535,1,99.675,
54.66857,0,,
54.76822,1,99.685,
54.768255,0,,
54.86788,1,99.66,
54.867915,0,,
54.96755,1,99.67,
54.967585,0,,
55.06721,1,99.66,
55.067245,0,,
55.166895,1,99.685,
55.16693,0,,
55.266575,1,99.68,
55.26661,0,,
55.366255,1,99.68,
55.366295,0,,
55.465925,1,99.67,
55.46596,0,,
55.56561,1,99.685,
55.565645,0,,
55.665285,1,99.675,
55.66532,0,,
55.764945,1,99.66,
55.76498,0,,
55.864635,1,99.69,
55.864675,0,,
55.964325,1,99.69,
55.964365,0,,
56.064,1,99.675,
56.064035,0,,
56.16368,1,99.68,
56.163715,0,,
56.263345,1,99.665,
56.26338,0,,
56.363005,1,99.66,
56.36304,0,,
56.46266,1,99.655,
56.4627,0,,
56.56234,1,99.68,
56.562375,0,,
56.66203,1,99.69,
56.662065,0,,
56.761685,1,99.655,
56.76172,0,,
56.86136,1,99.675,
56.861395,0,,
56.961015,1,99.655,
56.96105,0,,
57.060685,1,99.67,
57.06072,0,,
57.16034,1,99.655,
57.160375,0,,
57.260015,1,99.675,
57.26005,0,,
57.35967,1,99.655,
57.359705,0,,
57.45935,1,99.68,
57.459385,0,,
57.55903,1,99.68,
57.559065,0,,
57.6587,1,99.67,
57.658735,0,,
57.75837,1,99.67,
57.758405,0,,
57.85804,1,99.67,
57.858075,0,,
57.95773,1,99.69,
57.957765,0,,
58.0574,1,99.67,
58.057435,0,,
58.157065,1,99.665,
58.1571,0,,
58.25674,1,99.675,
58.256775,0,,
58.356425,1,99.685,
58.35646,0,,
58.456085,1,99.66,
58.45612,0,,
58.55575,1,99.665,
58.555785,0,,
58.65542,1,99.67,
58.655455,0,,
58.755075,1,99.655,
58.755115,0,,
58.85474,1,99.665,
58.85478,0,,
58.9544,1,99.66,
58.954435,0,,
59.05407,1,99.67,
59.054105,0,,
59.15373,1,99.66,
59.153765,0,,
59.253405,1,99.675,
59.25344,0,,
59.353085,1,99.68,
59.35312,0,,
59.452755,1,99.67,
59.452795,0,,
59.55242,1,99.665,
59.55246,0,,
59.652085,1,99.665,
59.65212,0,,
59.75175,1,99.665,
59.751785,0,,
59.851405,1,99.655,
59.85144,0,,
59.95109,1,99.685,
59.951125,0,,
60.05076,1,99.67,
60.050795,0,,
60.15044,1,99.68,
60.150475,0,,
60.25013,1,99.69,
60.250165,0,,
60.34979,1,99.66,
60.34983,0,,
60.44945,1,99.66,
60.449485,0,,
60.549115,1,99.665,
60.54915,0,,
60.64878,1,99.665,
60.648815,0,,
60.74845,1,99.67,
60.748485,0,,
60.848105,1,99.655,
60.84814,0,,
60.947775,1,99.67,
60.94781,0,,
61.047435,1,99.66,
61.04747,0,,
61.147095,1,99.66,
61.147135,0,,
61.246775,1,99.68,
61.246815,0,,
61.346375,1,99.6,
61.346415,0,,
61.446065,1,99.69,
61.4461,0,,
61.545735,1,99.67,
61.54577,0,,
61.64541,1,99.675,
61.645445,0,,
61.745105,1,99.695,
61.74514,0,,
61.84476,1,99.655,
61.844795,0,,
61.944425,1,99.665,
61.94446,0,,
62.04411,1,99.685,
62.044145,0,,
62.143775,1,99.665,
62.14381,0,,
62.243435,1,99.66,
62.243475,0,,
62.34311,1,99.675,
62.343145,0,,
62.44279,1,99.68,
62.442825,0,,
62.542465,1,99.675,
62.5425,0,,
62.642155,1,99.69,
62.64219,0,,
62.74182,1,99.665,
62.741855,0,,
62.841515,1,99.695,
62.84155,0,,
62.941185,1,99.67,
62.94122,0,,
63.04087,1,99.685,
63.040905,0,,
63.140555,1,99.685,
63.140595,0,,
63.240125,1,99.57,
63.240165,0,,
63.339795,1,99.67,
63.33983,0,,
63.439455,1,99.66,
63.43949,0,,
63.539125,1,99.67,
63.53916,0,,
63.638785,1,99.66,
63.638825,0,,
63.738455,1,99.67,
63.73849,0,,
63.838135,1,99.68,
63.83817,0,,
63.937815,1,99.68,
63.937855,0,,
64.03747,1,99.655,
64.03751,0,,
64.13712,1,99.65,
64.13716,0,,
64.23679,1,99.67,
64.23683,0,,
64.33648,1,99.69,
64.33652,0,,
64.436155,1,99.675,
64.43619,0,,
64.535815,1,99.66,
64.53585,0,,
64.635485,1,99.67,
64.63552,0,,
64.73515,1,99.665,
64.73519,0,,
